Last connected at,Email,Full name,Access role,Organization,Team,Job title
,isabelle_rouge@connect-tech.sncf,Isabelle Rouge Rouge,viewer,Sncf Connect & Tech,,
,remy.millot@verkor.com,Remy Millot,user,Verkor,,
,alban.maleknia@verkor.com,Alban Maleknia,user,Verkor,,
,gaetan.loison@verkor.com,Gaetan Loison,user,Verkor,,
,juliette.desagher@verkor.com,Juliette Desagher,user,Verkor,,
,jae-hun.yang@verkor.com,Jae Hun Yang,user,Verkor,,
,karima.mellouli@verkor.com,Karima Mellouli,user,Verkor,,
,cedric.lesien@verkor.com,Cedric Lesien,user,Verkor,,
,mickael.lobo@verkor.com,Mickael Lobo,user,Verkor,,
,camille.arnoux@verkor.com,Camille Arnoux,user,Verkor,,
,adil.boulaich@verkor.com,Adil Boulaich,user,Verkor,,
,hadrien.robinet@verkor.com,Hadrien Robinet,user,Verkor,,
,jeremy.reisenthel@verkor.com,Jeremy Reisenthel,user,Verkor,,
,laurent.level@verkor.com,Laurent Level,user,Verkor,,
,flavien.grincourt@verkor.com,Flavien Grincourt,user,Verkor,,
,ludovic.heux@verkor.com,Ludovic Heux,user,Verkor,,
,christober.raj@verkor.com,Christober Raj,user,Verkor,,
,ali.al-kebsi@verkor.com,Ali Al Kebsi,user,Verkor,,
,jean-baptiste.sterckeman@verkor.com,Jean Baptiste Sterckeman,user,Verkor,,
,emeric.vandenkoornhuyse@verkor.com,Emeric Vandenkoornhuyse,user,Verkor,,
,jean-yves.rialhon@verkor.com,Jean Yves Rialhon,user,Verkor,,
,amir-hisyam.mohd-najmi@verkor.com,Amir Hisyam Mohd Najmi,user,Verkor,,
,jiyong.park@verkor.com,Jiyong Park,user,Verkor,,
,fatima_elghaouat@connect-tech.sncf,Fatima Elghaouat Elghaouat,viewer,Sncf Connect & Tech,,
,julien.mansel@verkor.com,Julien Mansel,user,Verkor,,
,remy.fauquet@verkor.com,Remy Fauquet,user,Verkor,,
,julie.daniau@verkor.com,Julie Daniau,user,Verkor,,
,felix.coignard@verkor.com,Felix Coignard,user,Verkor,,
,juhyeon.kim@verkor.com,Juhyeon Kim,user,Verkor,,
,frederic.lenoble@verkor.com,Frederic Lenoble,user,Verkor,,
,fabrice.roy@verkor.com,Fabrice Roy,user,Verkor,,
,anis.gannoun@verkor.com,Anis Gannoun,user,Verkor,,
,xavier.leroy@verkor.com,Xavier Leroy,user,Verkor,,
,hakim.zegour@verkor.com,Hakim Zegour,user,Verkor,,
,shebert@raja.fr,Shebert,user,Raja,,
,eduardo.soares@verkor.com,Eduardo Soares,user,Verkor,,
,leonard.defo@verkor.com,Leonard Defo,user,Verkor,,
,varaprasad.ulavala@verkor.com,Varaprasad Ulavala,user,Verkor,,
,malado.coulibaly@verkor.com,Malado Coulibaly,user,Verkor,,
,steevens.alloy@verkor.com,Steevens Alloy,user,Verkor,,
,salem.andre@verkor.com,Salem Andre,user,Verkor,,
,rokhaya.lacombe@verkor.com,Rokhaya Lacombe,user,Verkor,,
,agathe.coulombez@verkor.com,Agathe Coulombez,user,Verkor,,
,pierre.courbot@verkor.com,Pierre Courbot,user,Verkor,,
,thomas.caron@verkor.com,Thomas Caron,user,Verkor,,
,pao-ting.liang@verkor.com,Pao Ting Liang,user,Verkor,,
,manikanta-sai-mahesh.putchala@verkor.com,Manikanta Sai Mahesh Putchala,user,Verkor,,
,sofiane.brazane@verkor.com,Sofiane Brazane,user,Verkor,,
,h.elhajji@meridiam.com,H Elhajji,user,Verkor,,
,sophie.moro-fondet@raja.fr,Sophie Moro Fondet,user,Raja,,
,julien.de-lorenzo@verkor.com,Julien De Lorenzo,user,Verkor,,
,udayan.doifode@verkor.com,Udayan Doifode,user,Verkor,,
,charlotte_delaronde@connect-tech.sncf,Charlotte Delaronde Delaronde,viewer,Sncf Connect & Tech,,
,cathy.mazzoleni@verkor.com,Cathy Mazzoleni,user,Verkor,,
,laura.patricio@raja.fr,Laura Patricio,user,Raja,,
,yeshwarya.thakur@verkor.com,Yeshwarya Thakur,user,Verkor,,
,hacene-mohammed-adnane.hamid@verkor.com,Hacene Mohammed Adnane Hamid,user,Verkor,,
,alexis.agneray@verkor.com,Alexis Agneray,user,Verkor,,
,leo.dupont@verkor.com,Leo Dupont,user,Verkor,,
,akash.basia@verkor.com,Akash Basia,user,Verkor,,
,sebastien.capoen@verkor.com,Sebastien Capoen,user,Verkor,,
,verna.macphee@verkor.com,Verna Macphee,user,Verkor,,
,muhammad-amirul-afiz.bin-ramlan@verkor.com,Muhammad Amirul Afiz Bin Ramlan,user,Verkor,,
,philippe.da-rocha@verkor.com,Philippe Da Rocha,user,Verkor,,
,jeremy.guilbert@verkor.com,Jeremy Guilbert,user,Verkor,,
,sandrine.styns@verkor.com,Sandrine Styns,user,Verkor,,
,hamza.benkorbaa@verkor.com,Hamza Benkorbaa,user,Verkor,,
,frederic_roussel@connect-tech.sncf,Frederic Roussel,viewer,Sncf Connect & Tech,it,
,geoffrey.cappelle@verkor.com,Geoffrey Cappelle,user,Verkor,,
,emilie.botte@verkor.com,Emilie Botte,user,Verkor,,
,thibaut.dorne@verkor.com,Thibaut Dorne,user,Verkor,,
,ranto.rabesiranana@verkor.com,Ranto Rabesiranana,user,Verkor,,
,xavier.petrissans@verkor.com,Xavier Petrissans,user,Verkor,,
,naima_badidi@connect-tech.sncf,Naima Badidi Badidi,viewer,Sncf Connect & Tech,,
,thomas.bourdeille@verkor.com,Thomas Bourdeille,user,Verkor,,
,ben.jeong@verkor.com,Ben Jeong,user,Verkor,,
,salaheddin.el-messaoudi@verkor.com,Salaheddin El Messaoudi,user,Verkor,,
,alexandra.gastaldo@verkor.com,Alexandra Gastaldo,user,Verkor,,
,clement.fernandez@verkor.com,Clement Fernandez,user,Verkor,,
,nicolas.ligniert@verkor.com,Nicolas Ligniert,user,Verkor,,
,houari.raiss@verkor.com,Houari Raiss,user,Verkor,,
,marine.degors@verkor.com,Marine Degors,user,Verkor,rd,
,amandine.huygens@verkor.com,Amandine Huygens,user,Verkor,,
,emerson.da-silva-texeira@verkor.com,Emerson Da Silva Texeira,user,Verkor,,
,clement.michiardi@verkor.com,Clement Michiardi,user,Verkor,,
,karine.grandoni@verkor.com,Karine Grandoni,user,Verkor,,
,sixtine.ryckebusch@verkor.com,Sixtine Ryckebusch,user,Verkor,,
,thomas.thueux@verkor.com,Thomas Thueux,user,Verkor,,
,lucas.detavernier@verkor.com,Lucas Detavernier,user,Verkor,,
,mohamed.nour@verkor.com,Mohamed Nour,user,Verkor,,
,hocine.boughanmi@verkor.com,Hocine Boughanmi,user,Verkor,,
,bassem.cherif@verkor.com,Bassem Cherif,user,Verkor,,
,vishalkumar.raval@verkor.com,Vishalkumar Raval,user,Verkor,,
,marieamelie_charpentier@connect-tech.sncf,Marie - Amélie Charpentier,viewer,Sncf Connect & Tech,partnerships,
,adrien.richard@verkor.com,Adrien Richard,user,Verkor,it,
,robin.grodziski@verkor.com,Robin Grodziski,user,Verkor,,
,imane.tahiri@verkor.com,Imane Tahiri,user,Verkor,,
,jordan.haelvoet@verkor.com,Jordan Haelvoet,user,Verkor,,
,benjamin.huys@verkor.com,Benjamin Huys,user,Verkor,,
,morgan.cayer-barrioz@verkor.com,Morgan Cayer Barrioz,user,Verkor,,
,rayan.djellal@verkor.com,Rayan Djellal,user,Verkor,,
,mickael.catez@verkor.com,Mickael Catez,user,Verkor,,
,karim.toumi@verkor.com,Karim Toumi,user,Verkor,,
,jeremy.etenna@verkor.com,Jeremy Etenna,user,Verkor,,
,lisa.berardi@verkor.com,Lisa Berardi,user,Verkor,,
,willy.petit@verkor.com,Willy Petit,user,Verkor,,
,hyunjong.yang@verkor.com,Hyunjong Yang,user,Verkor,,
,arthur.bertrand@verkor.com,Arthur Bertrand,user,Verkor,,
,cbernier@raja.fr,Cbernier,user,Raja,,
,johanna.lermytte@verkor.com,Johanna Lermytte,user,Verkor,,
,muhammad-akmal-ali.bin-md-ali@verkor.com,Muhammad Akmal Ali Bin Md Ali,user,Verkor,,
,didier.orero@verkor.com,Didier Orero,user,Verkor,,
,mohammad.farkhondeh@verkor.com,Mohammad Farkhondeh,user,Verkor,,
,robert-franck.docquois@verkor.com,Robert Franck Docquois,user,Verkor,,
,arthur.dhallaine@verkor.com,Arthur Dhallaine,user,Verkor,,
,david.billoo@verkor.com,David Billoo,user,Verkor,,
,nadege.straseele@verkor.com,Nadege Straseele,user,Verkor,,
,minh-clement.meysen@verkor.com,Minh Clement Meysen,user,Verkor,,
,aman.dubey@verkor.com,Aman Dubey,user,Verkor,,
,junghyun.park@verkor.com,Junghyun Park,user,Verkor,,
,anas.elbarkouli@verkor.com,Anas Elbarkouli,user,Verkor,,
,sophie.pigeot.ext@raja.fr,Sophie Pigeot,user,Raja,,
,soufiane.mouyer@verkor.com,Soufiane Mouyer,user,Verkor,,
,emilie.ruel@verkor.com,Emilie Ruel,user,Verkor,,
,severine.hondermarck@verkor.com,Severine Hondermarck,user,Verkor,,
,zi-xin.khoo@verkor.com,Zi Xin Khoo,user,Verkor,,
,hyllem.farah@verkor.com,Hyllem Farah,user,Verkor,,
,alena.goncharova-pouedras@verkor.com,Alena Goncharova Pouedras,user,Verkor,,
,veeranjaneyulu.bezawada@verkor.com,Veeranjaneyulu Bezawada,user,Verkor,,
,raja.znaiguia@verkor.com,Raja Znaiguia,user,Verkor,,
,vasilii.galkin@verkor.com,Vasilii Galkin,user,Verkor,,
,issam.djellal@verkor.com,Issam Djellal,user,Verkor,,
,adrien.tanghe@verkor.com,Adrien Tanghe,user,Verkor,,
,jean-charles.leroy@verkor.com,Jean Charles Leroy,user,Verkor,,
,lise.danel@verkor.com,Lise Danel,user,Verkor,,
,jeremy.boissy@verkor.com,Jeremy Boissy,user,Verkor,,
,marius.leluan@verkor.com,Marius Leluan,user,Verkor,,
,shivabasayya-ashok.hiremath@verkor.com,Shivabasayya Ashok Hiremath,user,Verkor,,
,yanis.ould-hocine@verkor.com,Yanis Ould Hocine,user,Verkor,,
,yves-sidi.vidor@verkor.com,Yves Sidi Vidor,user,Verkor,,
,yves.boudib@verkor.com,Yves Boudib,user,Verkor,,
,marc-antoine.juteau@verkor.com,Marc Antoine Juteau,user,Verkor,,
,yannick.denys@verkor.com,Yannick Denys,user,Verkor,,
,david_nedzela@connect-tech.sncf,David Nedzela Nedzela,viewer,Sncf Connect & Tech,,
,sahu-lavish.kumar@verkor.com,Sahu Lavish Kumar,user,Verkor,,
,bruno_picel@connect-tech.sncf,Bruno Picel,viewer,Sncf Connect & Tech,sales,
,abdallah.ahmamad@verkor.com,Abdallah Ahmamad,user,Verkor,,
,carmen.taiocchi@raja.fr,Carmen Taiocchi,user,Raja,,
,antoine.giroud-jouvet@verkor.com,Antoine Giroud Jouvet,user,Verkor,,
,tristan.jimenez@verkor.com,Tristan Jimenez,user,Verkor,,
,oceane.banastre@verkor.com,Oceane Banastre,user,Verkor,,
,adeline.philipson@verkor.com,Adeline Philipson,user,Verkor,,
,leo.ledru@verkor.com,Leo Ledru,user,Verkor,,
,theo.menduni@verkor.com,Theo Menduni,user,Verkor,,
,romain_lagrafeuille@connect-tech.sncf,Romain Lagrafeuille,viewer,Sncf Connect & Tech,marketing,
,lambert.delvincourt@verkor.com,Lambert Delvincourt,user,Verkor,,
,anne-sophie_bara@connect-tech.sncf,Anne-Sophie Bara,viewer,Sncf Connect & Tech,,
,fanny_vannier@connect-tech.sncf,Fanny Vannier Vannier,viewer,Sncf Connect & Tech,,
,osman.bin-rahman@verkor.com,Osman Bin Rahman,user,Verkor,,
,clement.caudron@verkor.com,Clement Caudron,user,Verkor,,
,damien_hennebelle@connect-tech.sncf,Damien Hennebelle,viewer,Sncf Connect & Tech,partnerships,
,sonia.manaila@verkor.com,Sonia Manaila,user,Verkor,,
,gauri.singhal@verkor.com,Gauri Singhal,user,Verkor,,
,cyril.sergent@verkor.com,Cyril Sergent,user,Verkor,,
,coline.mandray@verkor.com,Coline Mandray,user,Verkor,,
,ludovic.chochoy@verkor.com,Ludovic Chochoy,user,Verkor,,
,sylene.martinez@verkor.com,Sylene Martinez,user,Verkor,,
,theo.huygebaert@verkor.com,Theo Huygebaert,user,Verkor,,
,david.varnewyck@verkor.com,David Varnewyck,user,Verkor,,
,claire.scotte-urbaniak@verkor.com,Claire Scotte Urbaniak,user,Verkor,,
,laetitia.vernier@verkor.com,Laetitia Vernier,user,Verkor,,
,bernard.huleux@verkor.com,Bernard Huleux,user,Verkor,,
,paul.devinck@verkor.com,Paul Devinck,user,Verkor,,
,arthur.choquel@verkor.com,Arthur Choquel,user,Verkor,,
,franck.decroix@verkor.com,Franck Decroix,user,Verkor,,
,jordan.mares-manton@verkor.com,Jordan Mares Manton,user,Verkor,,
,fabrice_gambier@connect-tech.sncf,Fabrice Gambier Gambier,viewer,Sncf Connect & Tech,,
,marc-antoine.geffray@verkor.com,Marc Antoine Geffray,user,Verkor,,
,rafael.acosta@verkor.com,Rafael Acosta,user,Verkor,,
,jephte_decimus@connect-tech.sncf,Jephte Decimus Decimus,viewer,Sncf Connect & Tech,,
,ravi-shanker.sugamar@verkor.com,Ravi Shanker Sugamar,user,Verkor,,
,sebastien.mallinjoud@verkor.com,Sebastien Mallinjoud,user,Verkor,,
,safiha.morales@verkor.com,Safiha Morales,user,Verkor,,
,jean-baptiste.perez-giraldez@verkor.com,Jean Baptiste Perez Giraldez,user,Verkor,,
,julian-alexander.sulik@verkor.com,Julian Alexander Sulik,user,Verkor,,
,islam.chiba@verkor.com,Islam Chiba,user,Verkor,,
,adeline.depledt@verkor.com,Adeline Depledt,user,Verkor,,
,sandra.collignon@verkor.com,Sandra Collignon,user,Verkor,,
,sudishna.sthapit@verkor.com,Sudishna Sthapit,user,Verkor,,
,kevin.ganier@verkor.com,Kevin Ganier,user,Verkor,,
,tom.lemercier@verkor.com,Tom Lemercier,user,Verkor,,
,thomas.vandenberghe@verkor.com,Thomas Vandenberghe,user,Verkor,,
,nathan.notebaert@verkor.com,Nathan Notebaert,user,Verkor,,
,estibaliz.goitia-sanchez@verkor.com,Estibaliz Goitia Sanchez,user,Verkor,,
,sylvain.collette@verkor.com,Sylvain Collette,user,Verkor,,
,theodore.sabina@verkor.com,Theodore Sabina,user,Verkor,,
,thierry.berlureau@verkor.com,Thierry Berlureau,user,Verkor,,
,rudy.seynave@verkor.com,Rudy Seynave,user,Verkor,,
,venkataraman.nagarajan@verkor.com,Venkataraman Nagarajan,user,Verkor,,
,jules.andrieux@verkor.com,Jules Andrieux,user,Verkor,,
,jerome.fasquel@verkor.com,Jerome Fasquel,user,Verkor,,
,gregoire.daligault@verkor.com,Gregoire Daligault,user,Verkor,,
,antoine.duhain@verkor.com,Antoine Duhain,user,Verkor,,
,cedric.revillon@raja.fr,Cedric Revillon,user,Raja,,
,arafan.traore@verkor.com,Arafan Traore,user,Verkor,,
,daoud.mahboub@verkor.com,Daoud Mahboub,user,Verkor,,
,larry.zhang@verkor.com,Larry Zhang,user,Verkor,,
,sarnoult@raja.fr,Sarnoult,user,Raja,,
,julien.mabelle@verkor.com,Julien Mabelle,user,Verkor,,
,arsene.caulier@verkor.com,Arsene Caulier,user,Verkor,,
,aurore.deloffre@verkor.com,Aurore Deloffre,user,Verkor,,
,caroline.fournier@verkor.com,Caroline Fournier,user,Verkor,,
,barthelemy.carrasco@verkor.com,Barthelemy Carrasco,user,Verkor,,
,armelle.fuguet@verkor.com,Armelle Fuguet,user,Verkor,,
,nicolas.dufour@verkor.com,Nicolas Dufour,user,Verkor,,
,aymeric.leguellec@verkor.com,Aymeric Leguellec,user,Verkor,,
,david_brottet@connect-tech.sncf,David Brottet Brottet,viewer,Sncf Connect & Tech,,
,lorenzo.casier@verkor.com,Lorenzo Casier,user,Verkor,,
,clement.witt@verkor.com,Clement Witt,user,Verkor,,
,mohamed.hannani@verkor.com,Mohamed Hannani,user,Verkor,,
,hardikkumar.shah@verkor.com,Hardikkumar Shah,user,Verkor,,
,valentin.lavieville@verkor.com,Valentin Lavieville,user,Verkor,,
,taha.balouki@verkor.com,Taha Balouki,user,Verkor,,
,dounia.hazeb@verkor.com,Dounia Hazeb,user,Verkor,,
,noemie_loiseau@connect-tech.sncf,Noemie Loiseau Loiseau,viewer,Sncf Connect & Tech,,
,maheswara-chary.poloju@verkor.com,Maheswara Chary Poloju,user,Verkor,,
,mounia.bellima@verkor.com,Mounia Bellima,user,Verkor,,
,virginie_lajarriges@connect-tech.sncf,Virginie Lajarriges Lajarriges,viewer,Sncf Connect & Tech,other,
,serena.vaillendet@verkor.com,Serena Vaillendet,user,Verkor,,
,manon.carpentier@verkor.com,Manon Carpentier,user,Verkor,,
,remi.frenoy@verkor.com,Remi Frenoy,user,Verkor,,
,morgan.dewez@verkor.com,Morgan Dewez,user,Verkor,,
,rayan.ait-youcef@verkor.com,Rayan Ait Youcef,user,Verkor,,
,remi.lapierre@verkor.com,Remi Lapierre,user,Verkor,,
,amghid.bouferguene@verkor.com,Amghid Bouferguene,user,Verkor,,
,jean-baptiste.begue-gillio@verkor.com,Jean Baptiste Begue Gillio,user,Verkor,,
,fayrouz.boucheloukh@verkor.com,Fayrouz Boucheloukh,user,Verkor,,
,mathieu.rodrigue@verkor.com,Mathieu Rodrigue,user,Verkor,,
,othman.el-hassani@verkor.com,Othman El Hassani,user,Verkor,,
,hugo.seng@verkor.com,Hugo Seng,user,Verkor,,
,hugo.croquelois@verkor.com,Hugo Croquelois,user,Verkor,,
,leopold.verdeaux@verkor.com,Leopold Verdeaux,user,Verkor,,
,nicolas.guillaumot@verkor.com,Nicolas Guillaumot,user,Verkor,,
,christophe.bloume@verkor.com,Christophe Bloume,user,Verkor,,
,colin.hodson@macquarie.com,Colin Hodson,user,Verkor,,
,belhassen.abssi@verkor.com,Belhassen Abssi,user,Verkor,,
,charlotte.duhoo@verkor.com,Charlotte Duhoo,user,Verkor,,
,zoe.lacene@verkor.com,Zoe Lacene,user,Verkor,,
,olivier.courcon@verkor.com,Olivier Courcon,user,Verkor,,
,romane.fichaux@verkor.com,Romane Fichaux,user,Verkor,,
,khemis.benouar@verkor.com,Khemis Benouar,user,Verkor,,
,julia.joubert@verkor.com,Julia Joubert,user,Verkor,,
,fabrice.ledorze@verkor.com,Fabrice Ledorze,user,Verkor,,
,theo.laloux@verkor.com,Theo Laloux,user,Verkor,,
,nathalie.strosberg@verkor.com,Nathalie Strosberg,user,Verkor,,
,jean-baptiste.dutriaux@verkor.com,Jean Baptiste Dutriaux,user,Verkor,,
,julien.desmadrille@verkor.com,Julien Desmadrille,user,Verkor,,
,monica.bimbeni-mpika@verkor.com,Monica Bimbeni Mpika,user,Verkor,,
,sabrina.hammadi@verkor.com,Sabrina Hammadi,user,Verkor,,
,eric.crebier@verkor.com,Eric Crebier,user,Verkor,,
,clement.le-mignon@verkor.com,Clement Le Mignon,user,Verkor,,
,aiman.megat@verkor.com,Aiman Megat,user,Verkor,,
,theo.decoudu@verkor.com,Theo Decoudu,user,Verkor,,
,damien_renaud@connect-tech.sncf,Damien Renaud,viewer,Sncf Connect & Tech,it,
,yassine.cherqaoui@verkor.com,Yassine Cherqaoui,user,Verkor,,
,neda.kulic@verkor.com,Neda Kulic,user,Verkor,,
,nkhannous@raja.fr,Nkhannous,user,Raja,,
,julien.gay@verkor.com,Julien Gay,user,Verkor,,
,camille.ditilyeu@verkor.com,Camille Ditilyeu,user,Verkor,,
,yann.clerc@verkor.com,Yann Clerc,user,Verkor,,
,magda.cherrad@verkor.com,Magda Cherrad,user,Verkor,,
,olivier.bouret@verkor.com,Olivier Bouret,user,Verkor,,
,francois_fleury@connect-tech.sncf,Francois Fleury,viewer,Sncf Connect & Tech,marketing,
,jean-baptiste.kerleau@verkor.com,Jean Baptiste Kerleau,user,Verkor,,
,clement.balaguy@verkor.com,Clement Balaguy,user,Verkor,,
,laurent.champsaur@verkor.com,Laurent Champsaur,user,Verkor,,
,tony.lecoustre@verkor.com,Tony Lecoustre,user,Verkor,,
,sarah_elshiwi@connect-tech.sncf,Sarah Elshiwi Elshiwi,viewer,Sncf Connect & Tech,,
,mohamed.chadli@verkor.com,Mohamed Chadli,user,Verkor,,
,pierre.agnias@raja.fr,Pierre Agnias,user,Raja,,
,gautier_kerdoncuff@connect-tech.sncf,Gautier Kerdoncuff Kerdoncuff,viewer,Sncf Connect & Tech,,
,jennie.andersen@verkor.com,Jennie Andersen,user,Verkor,,
,oussama.sadik@verkor.com,Oussama Sadik,user,Verkor,,
,cyril.scippa@verkor.com,Cyril Scippa,user,Verkor,,
,isabelle.debruyne@verkor.com,Isabelle Debruyne,user,Verkor,,
,sajid.hussain@verkor.com,Sajid Hussain,user,Verkor,,
,wbouzy@raja.fr,Wbouzy,user,Raja,it,
,quentin.bonnaillie@verkor.com,Quentin Bonnaillie,user,Verkor,,
,mylene.caroff@verkor.com,Mylene Caroff,user,Verkor,,
,thomas.bollengier@verkor.com,Thomas Bollengier,user,Verkor,,
,victor.boudeville@verkor.com,Victor Boudeville,user,Verkor,,
,hicham.zghari@verkor.com,Hicham Zghari,user,Verkor,,
,marijana.bukarica@raja.fr,Marijana Bukarica,user,Raja,,
,skellal@raja.fr,Skellal,manager,Raja,,
,mathieu.sabre@verkor.com,Mathieu Sabre,user,Verkor,,
,hocine.oughalime@verkor.com,Hocine Oughalime,user,Verkor,,
,alexandre_lelasseux@connect-tech.sncf,Alexandre Lelasseux Lelasseux,viewer,Sncf Connect & Tech,,
,ahmad-nazirul.khirudin@verkor.com,Ahmad Nazirul Khirudin,user,Verkor,,
,caroline_fleygnac@connect-tech.sncf,Caroline Fleygnac,viewer,Sncf Connect & Tech,customer_relationship,
,julien.duquenoy@verkor.com,Julien Duquenoy,user,Verkor,,
,prakash.nagarajan@verkor.com,Prakash Nagarajan,user,Verkor,,
,dorian.jodin@verkor.com,Dorian Jodin,user,Verkor,,
,emma.chapelon@verkor.com,Emma Chapelon,user,Verkor,,
,perrine.lohues@verkor.com,Perrine Lohues,user,Verkor,,
,dylan.govart@verkor.com,Dylan Govart,user,Verkor,,
,volkan.cinar@verkor.com,Volkan Cinar,user,Verkor,,
,christophe.lupatelli@verkor.com,Christophe Lupatelli,user,Verkor,,
,dj_sct@connect-tech.sncf,Compte Bris De Glace Dj_Sct,admin,Sncf Connect & Tech,other,
,beagino.cardoso-de-moraes-junior@verkor.com,Beagino Cardoso De Moraes Junior,user,Verkor,,
,francis.hoss@verkor.com,Francis Hoss,user,Verkor,,
,remi.vancayezeele@verkor.com,Remi Vancayezeele,user,Verkor,,
,julien.castellana@verkor.com,Julien Castellana,user,Verkor,,
,emma.pouchele@verkor.com,Emma Pouchele,user,Verkor,,
,rafael.pulido@verkor.com,Rafael Pulido,user,Verkor,,
,carine_saraiva@connect-tech.sncf,Carine Saraiva,viewer,Sncf Connect & Tech,marketing,
,edi_tchefouney@connect-tech.sncf,Edi Tchefouney,viewer,Sncf Connect & Tech,other,
,arnaud.losq@verkor.com,Arnaud Losq,user,Verkor,,
,gwendal.loisel@verkor.com,Gwendal Loisel,user,Verkor,,
,mourad.daim@verkor.com,Mourad Daim,user,Verkor,,
,mohamed.yahyaoui@verkor.com,Mohamed Yahyaoui,user,Verkor,,
,antoine.bayon-lopez@verkor.com,Antoine Bayon Lopez,user,Verkor,,
,abd-allah.el-ghissassi@verkor.com,Abd Allah El Ghissassi,user,Verkor,,
,lucas.moreau@verkor.com,Lucas Moreau,user,Verkor,,
,stephanie_lafitte@connect-tech.sncf,Stephanie Lafitte,viewer,Sncf Connect & Tech,other,
,madina_rabah@connect-tech.sncf,Madina Rabah,viewer,Sncf Connect & Tech,sales,
,nicolas_barre@connect-tech.sncf,Nicolas Barre,viewer,Sncf Connect & Tech,it,
,chloe.ligny@verkor.com,Chloe Ligny,user,Verkor,,
,remi.maillet@verkor.com,Remi Maillet,user,Verkor,,
,alexandre.ivol@verkor.com,Alexandre Ivol,user,Verkor,,
,aline_cahier@connect-tech.sncf,Aline Cahier,viewer,Sncf Connect & Tech,it,Chef de projet
,alice_nepa@connect-tech.sncf,Alice  Nepa,viewer,Sncf Connect & Tech,legal,
,guillaume.simon@verkor.com,Guillaume Simon,user,Verkor,,
,rock.lee@verkor.com,Rock Lee,user,Verkor,,
,benoit.arsac@verkor.com,Benoit Arsac,user,Verkor,,
,adrian-alejandro.rodarte-gurrola@verkor.com,Adrian Alejandro Rodarte Gurrola,user,Verkor,,
,thomas.humiere@verkor.com,Thomas Humiere,user,Verkor,,
,david.peuple@verkor.com,David Peuple,user,Verkor,,
,nour.makki@verkor.com,Nour Makki,user,Verkor,,
,francis_bergey@connect-tech.sncf,Francis Bergey,viewer,Sncf Connect & Tech,it,
,ludovic.devos@verkor.com,Ludovic Devos,user,Verkor,,
,ali-tarek.bencheriet@verkor.com,Ali Tarek Bencheriet,user,Verkor,,
,michelle.millan@verkor.com,Michelle Millan,user,Verkor,,
,florian.everaert@verkor.com,Florian Everaert,user,Verkor,,
,jalyl.kharraze@verkor.com,Jalyl Kharraze,user,Verkor,,
,benjamin.favier@verkor.com,Benjamin Favier,user,Verkor,,
,thomas_noziere@connect-tech.sncf,Thomas Noziere Noziere,viewer,Sncf Connect & Tech,,
,cedric.lehouck@verkor.com,Cedric Lehouck,user,Verkor,,
,rudy.dubroeucq@verkor.com,Rudy Dubroeucq,user,Verkor,,
,akshay.sarode@verkor.com,Akshay Sarode,user,Verkor,,
,lbouhali@raja.fr,Lbouhali,user,Raja,,
,sergio.mendes@raja.fr,Sergio Mendes,user,Raja,,
,quentin.bouchon@verkor.com,Quentin Bouchon,user,Verkor,,
,dylan.fay@verkor.com,Dylan Fay,user,Verkor,,
,manon_quesnel@connect-tech.sncf,Manon Quesnel Quesnel,viewer,Sncf Connect & Tech,,
,hugo.hanquez@verkor.com,Hugo Hanquez,user,Verkor,,
,chunlong-aron.xu@verkor.com,Chunlong Aron Xu,user,Verkor,,
,loic.olbreck@verkor.com,Loic Olbreck,user,Verkor,,
,amelie.dubois@verkor.com,Amelie Dubois,user,Verkor,,
,shashank-anilkumar.bhatt@verkor.com,Shashank Anilkumar Bhatt,user,Verkor,,
,logan.faillie@verkor.com,Logan Faillie,user,Verkor,,
,cedric.lassalle@verkor.com,Cedric Lassalle,user,Verkor,,
,angelique.boudet@verkor.com,Angelique Boudet,user,Verkor,,
,valentin.vasseur@verkor.com,Valentin Vasseur,user,Verkor,,
,olivier.agneray@verkor.com,Olivier Agneray,user,Verkor,,
,meet.gopani@verkor.com,Meet Gopani,user,Verkor,,
,maxime.dal@verkor.com,Maxime Dal,user,Verkor,other,
,jerome.henon@verkor.com,Jerome Henon,user,Verkor,,
,stefania.quinto@verkor.com,Stefania Quinto,user,Verkor,,
,isabelle.duquenoy@verkor.com,Isabelle Duquenoy,user,Verkor,,
,eddy.ferrar@verkor.com,Eddy Ferrar,user,Verkor,,
,catherine.lioret@verkor.com,Catherine Lioret,user,Verkor,,
,venkata-sai-naveen.pushadapu@verkor.com,Venkata Sai Naveen Pushadapu,user,Verkor,,
,gabriel.bernard@verkor.com,Gabriel Bernard,user,Verkor,,
,maelle_gorgulu@connect-tech.sncf,Maelle Gorgulu,viewer,Sncf Connect & Tech,customer_relationship,Chef de projet
,mhammed.assahli@verkor.com,Mhammed Assahli,user,Verkor,,
,cyril.gomet@verkor.com,Cyril Gomet,user,Verkor,,
,celine_ruminski@connect-tech.sncf,Celine Ruminski,viewer,Sncf Connect & Tech,partnerships,
,julien.macaudiere@verkor.com,Julien Macaudiere,user,Verkor,,
,pierre.ryckebusch@verkor.com,Pierre Ryckebusch,user,Verkor,,
,noura.nadi@verkor.com,Noura Nadi,user,Verkor,,
,pascal.robilliart@verkor.com,Pascal Robilliart,user,Verkor,,
